"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   , "Norm2(dU[Rho])" , "Norm2(dU[RhoU])", "Norm2(dU[RhoV])", "Norm2(dU[RhoE])"
          0,           0,         109,      -1.370636388,       1.337793163,       1.176852438,       4.288200976,                 0,                 0,                 0,                 0
          0,           0,         110,      -1.378816025,        1.32583399,        1.16696022,       4.277511144,                 0,                 0,                 0,                 0
          0,           0,         111,      -1.386852907,       1.313945731,       1.157205504,       4.267031748,                 0,                 0,                 0,                 0
          0,           0,         112,      -1.395076217,       1.301625774,       1.146956275,       4.256104791,                 0,                 0,                 0,                 0
          0,           0,         113,      -1.403754149,       1.289238395,       1.136791032,       4.244915042,                 0,                 0,                 0,                 0
          0,           0,         114,      -1.412897309,       1.276815717,       1.126628451,       4.233429275,                 0,                 0,                 0,                 0
          0,           0,         115,      -1.422252877,       1.265045773,       1.117362381,        4.22249809,                 0,                 0,                 0,                 0
          0,           0,         116,      -1.431373457,       1.254194759,        1.10863431,       4.212286391,                 0,                 0,                 0,                 0
          0,           0,         117,      -1.439921754,       1.243545697,       1.099936672,       4.202388715,                 0,                 0,                 0,                 0
          0,           0,         118,      -1.447611782,       1.232914442,       1.090749393,       4.192693981,                 0,                 0,                 0,                 0
          0,           0,         119,      -1.454426705,       1.222549795,       1.080943741,       4.183517101,                 0,                 0,                 0,                 0
          0,           0,         120,      -1.460871533,       1.212721545,       1.070746813,       4.174914529,                 0,                 0,                 0,                 0
          0,           0,         121,       -1.46765596,       1.202588111,       1.060424872,       4.165836214,                 0,                 0,                 0,                 0
          0,           0,         122,      -1.475202601,       1.191416715,        1.05070959,       4.155734361,                 0,                 0,                 0,                 0
          0,           0,         123,      -1.483593034,       1.178586275,       1.041442812,       4.144083404,                 0,                 0,                 0,                 0
          0,           0,         124,      -1.492452322,       1.165499831,       1.032601507,       4.132167627,                 0,                 0,                 0,                 0
          0,           0,         125,      -1.501282772,       1.152726115,       1.023756117,       4.120559209,                 0,                 0,                 0,                 0
          0,           0,         126,      -1.509482067,       1.141953408,       1.014721686,        4.11081875,                 0,                 0,                 0,                 0
          0,           0,         127,       -1.51706881,       1.132818321,       1.005323996,       4.102527018,                 0,                 0,                 0,                 0
          0,           0,         128,       -1.52433144,       1.124623742,      0.9958326976,       4.095141549,                 0,                 0,                 0,                 0
          0,           0,         129,      -1.531828971,       1.115351503,      0.9868666356,       4.087020751,                 0,                 0,                 0,                 0
          0,           0,         130,      -1.539823551,       1.105059554,      0.9785304126,       4.077961024,                 0,                 0,                 0,                 0
          0,           0,         131,      -1.548196869,       1.094575736,      0.9709395111,       4.068644104,                 0,                 0,                 0,                 0
          0,           0,         132,      -1.556482825,       1.084427575,      0.9635226396,        4.05957756,                 0,                 0,                 0,                 0
          0,           0,         133,      -1.564263879,       1.075301691,      0.9554791085,        4.05122317,                 0,                 0,                 0,                 0
          0,           0,         134,      -1.571507914,        1.06787149,       0.946616924,       4.044212327,                 0,                 0,                 0,                 0
          0,           0,         135,      -1.578708241,       1.059678263,      0.9367893473,       4.036632332,                 0,                 0,                 0,                 0
          0,           0,         136,      -1.586403196,       1.049724069,      0.9266216227,       4.027748835,                 0,                 0,                 0,                 0
          0,           0,         137,       -1.59484563,       1.037468788,      0.9165682783,       4.017135475,                 0,                 0,                 0,                 0
          0,           0,         138,      -1.603969054,       1.023122758,      0.9069525591,       4.004990408,                 0,                 0,                 0,                 0
          0,           0,         139,       -1.61306525,       1.009257184,      0.8977881245,       3.993275673,                 0,                 0,                 0,                 0
          0,           0,         140,      -1.621406904,      0.9977714702,      0.8886638107,       3.983280386,                 0,                 0,                 0,                 0
          0,           0,         141,      -1.628557771,      0.9900269343,      0.8789231935,       3.975978434,                 0,                 0,                 0,                 0
          0,           0,         142,      -1.635046172,      0.9844832498,      0.8691908148,       3.970369942,                 0,                 0,                 0,                 0
          0,           0,         143,      -1.642010912,       0.977152596,      0.8593951087,       3.963433691,                 0,                 0,                 0,                 0
          0,           0,         144,        -1.6500814,      0.9665598407,      0.8503284518,       3.954139875,                 0,                 0,                 0,                 0
